2020-03-01
Number of Confirmed Case(s)	0
Number of Persons Under Investigation (current, testing pending) 	0
Number of Persons Under Investigation (closed, testing negative)	1
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	90

2020-03-02
Number of Confirmed Case(s)	0
Number of Persons Under Investigation (current, testing pending)	0
Number of Persons Under Investigation (closed, testing negative)	2
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	91

2020-03-03
Number of Confirmed Case(s)	0
Number of Persons Under Investigation (current, testing pending)	0
Number of Persons Under Investigation (closed, testing negative)	6
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	89

2020-03-04
Number of Confirmed Case(s)	0
Number of Persons Under Investigation (current, testing pending)	0
Number of Persons Under Investigation (closed, testing negative)	6
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	72

2020-03-05
Number of Confirmed Case(s)	0
Number of Persons Under Investigation (current, testing pending) 	0
Number of Persons Under Investigation (closed, testing negative)	6
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	72

2020-03-06
Number of Confirmed Case(s)	1
Number of Persons Under Investigation (current, testing pending)	0
Number of Persons Under Investigation (closed, testing negative)	7
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	77

2020-03-07
Number of Presumptive Positive or Confirmed Case(s) 	1
Number of Persons Under Investigation (current, testing pending) 	0
Number of Persons Under Investigation (closed, testing negative)	15
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	76

2020-03-08
Number of Presumptive Positive or Confirmed Case(s) 	2
Number of Persons Under Investigation (current, testing pending) 	0
Number of Persons Under Investigation (closed, testing negative)	15
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	75

2020-03-09
Number of Presumptive Positive or Confirmed Case(s) 	2
Number of Persons Under Investigation (current, testing pending) 	4
Number of Persons Under Investigation (closed, testing negative)	15
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	62

2020-03-10
Number of Presumptive Positive or Confirmed Case(s) 	2
Number of Persons Under Investigation (current, testing pending) 	0
Number of Persons Under Investigation (closed, testing negative)	24
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	52

2020-03-11
Number of Presumptive Positive or Confirmed Case(s) 	2
Number of Persons Under Investigation (current, testing pending) 	6
Number of Persons Under Investigation (closed, testing negative)	23
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	41

2020-03-12
Number of Presumptive Positive or Confirmed Case(s) 	2
Number of Persons Under Investigation (current, testing pending) 	2
Number of Persons Under Investigation (closed, testing negative)	28
Number of Persons Under Quarantine	0
Number of Persons Self-Monitoring with DOH supervision	39

2020-03-13
Number of Presumptive Positive or Confirmed Case(s)	2
Number of Persons Under Investigation (current, testing pending) 	7
Number of Persons Under Investigation (closed, testing negative)	45
Number of Persons Self-Monitoring with DOH supervision	27

2020-03-14
Number of Confirmed Case(s)*    4
Number of Persons Under Investigation (current, testing pending)    0
Number of Persons Under Investigation (closed, testing negative)    49
Number of Persons Self-Monitoring with DOH supervision  23

2020-03-15
Number of Confirmed or Presumptive Positive Case(s)* 	7
Number of Persons Under Investigation (current, testing pending) 	1
Number of Persons Under Investigation (closed, testing negative)	49
Number of Persons Self-Monitoring with DOH supervision	9

2020-03-16
Number of Confirmed or Presumptive Positive Case(s)*    10 
Number of Persons Under Investigation (current, testing pending)    7 
Number of Persons Under Investigation (closed, testing negative)    86 
Number of Person Self-Monitoring with DOH supervision   9

2020-03-17
Number of Confirmed or Presumptive Positive Case(s)*    14
Number of Persons Under Investigation (current, testing pending)    12
Number of Negative Test Results 93
Number of Person Self-Monitoring with DOH supervision   9

2020-03-18
Number of Confirmed or Presumptive Positive Case(s)*    16
Number of Persons Under Investigation (current, testing pending)    9

2020-03-19
Number of Total Positive Case(s)* Statewide 26
Honolulu    18
Maui County 5
Kaua‘i  2
Hawai‘i Island  1

2020-03-20
Number of Total Positive Case(s)* Statewide 37
Honolulu    28
Maui County 5
Kaua‘i  3
